,PP_SA_min_eigenvalue,PP_SA_eigenval_prob,PP_SA_yi,PP_SA_xij,PP_SA_runtime,PP_SA_assignment,PP_SA_real_weights_sum,PP_SA_placed_weights_sum,PP_SA_used_items,PP_SA_feasible,PP_SA_reason,PP_SA_penalties_dict_A,PP_SA_penalties_dict_B
28,4603.500000,0.001000,"['1', '4', '2', '3', '0', '5', '6']","['1', '4', '2', '3', '0', '5', '6']",152.260303,"[('0', 16), ('1', 18), ('2', 12), ('3', 17), ('4', 23), ('5', 15), ('6', 19)]",40,120,"[2, 3, 4, 0, 2, 5, 1, 4, 4, 5, 4, 5, 6, 0, 2, 6, 0, 1, 3, 6]",False,"['real_weights_sum:40 != placed_weights_sum:120; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
29,6404.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",179.052353,"[('0', 15), ('1', 10), ('2', 19), ('3', 8), ('4', 22), ('5', 23), ('6', 10), ('7', 13)]",57,120,"[0, 3, 5, 6, 1, 5, 6, 4, 0, 2, 3, 2, 4, 7, 5, 6, 6, 7]",False,"['real_weights_sum:57 != placed_weights_sum:120; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
30,7804.500000,0.001000,"['1', '4', '8', '2', '3', '0', '5', '6', '7']","['1', '4', '8', '2', '3', '0', '5', '6', '7']",209.110975,"[('0', 18), ('1', 31), ('2', 18), ('3', 9), ('4', 18), ('5', 9), ('6', 30), ('7', 8), ('8', 5)]",53,146,"[2, 4, 5, 0, 3, 4, 5, 3, 7, 8, 7, 8, 4, 5, 7, 3, 0, 3, 4, 7, 6, 7, 8]",False,"['real_weights_sum:53 != placed_weights_sum:146; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
31,11104.500000,0.001000,"['9', '1', '4', '8', '2', '5', '0', '6', '7']","['9', '1', '4', '8', '2', '5', '0', '6', '7']",236.196041,"[('0', 37), ('1', 31), ('2', 27), ('4', 9), ('5', 22), ('6', 9), ('7', 8), ('8', 31), ('9', 9)]",76,183,"[0, 1, 2, 5, 7, 3, 4, 8, 9, 1, 4, 6, 7, 9, 6, 7, 8, 9, 6, 5, 6, 7, 8, 9]",False,"['real_weights_sum:76 != placed_weights_sum:183; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
32,601.000000,0.002000,"['0', '1']","['0', '1']",49.180984,"[('0', 18), ('1', 18)]",18,36,"[0, 1, 2, 0, 1, 2]",False,"['real_weights_sum:18 != placed_weights_sum:36; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
33,1402.000000,0.001000,"['2', '3', '0', '1']","['2', '3', '0', '1']",62.112808,"[('0', 11), ('1', 19), ('2', 4), ('3', 5)]",23,39,"[0, 2, 0, 1, 2, 3, 2]",False,"['real_weights_sum:23 != placed_weights_sum:39; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
34,2102.500000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",97.800493,"[('0', 13), ('1', 8), ('2', 8), ('3', 27), ('4', 8)]",31,64,"[1, 4, 3, 3, 0, 1, 2, 3, 3]",False,"['real_weights_sum:31 != placed_weights_sum:64; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
35,3403.000000,0.001000,"['1', '4', '2', '3', '0', '5']","['1', '4', '2', '3', '0', '5']",119.378567,"[('0', 19), ('1', 8), ('2', 19), ('3', 19), ('4', 6), ('5', 9)]",40,80,"[1, 4, 5, 4, 0, 3, 5, 1, 4, 5, 5, 0, 1]",False,"['real_weights_sum:40 != placed_weights_sum:80; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
36,3902.500000,0.001000,"['1', '3', '5', '0', '6']","['1', '3', '5', '0', '6']",166.715384,"[('0', 17), ('1', 17), ('3', 24), ('5', 17), ('6', 14)]",52,89,"[5, 6, 0, 5, 0, 2, 6, 5, 6, 1, 6]",False,"['real_weights_sum:52 != placed_weights_sum:89; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
37,4804.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",171.680689,"[('0', 16), ('1', 8), ('2', 17), ('3', 4), ('4', 23), ('5', 20), ('6', 12), ('7', 13)]",53,113,"[0, 3, 6, 1, 6, 4, 0, 2, 3, 2, 4, 5, 7, 5, 6, 6, 7]",False,"['real_weights_sum:53 != placed_weights_sum:113; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
